Date,Text
2019-07-19,The Advidory committee on the 2020 UN Oceans Conference will work with Kenya and Portugal who are the co-hosts of the conference to ensure that it's outcomes are actionable and accelerate the realisation of SDG14 and its related #SDGs @AmbMKamau.
2022-04-19,The Ambassador of Japan to Kenya H.E. Okaniwa Ken paid a courtesy call on PS @AmbMKamau . The two reviewed diplomatic ties and matters of mutual interest including the fourthcoming 2nd Japan-Africa Public-Private Economic Forum to be held in Nairobi on 3 May 2022. @JapaninKenya
2018-01-20,"Political and Diplomatic Secretary, Amb Tom Amolo yesterday hosted Mr Michael Morrow, Charge d'Affaires at the US Embassy in Juba and discussed matters related to South Sudan peace process and recently signed peace agreement."
2016-03-06,CS @AMB_A_Mohammed: President John Mahama of Ghana paid official visit to Kenya in December 2014
2015-10-23,CS @AMB_A_Mohammed: Africa needs to diversify &amp; enhance value addition to benefit more from trade with India
2019-11-07,"P.S @AmbMKamau  called on H.E. Amb. Sima Sama I. Bahous, PR of Jordan to the UN. Discussions centred on Kenya's bid for the UNSC,bilateral issues and matters of mutual interest. He informed of Kenya's 10 Point UNSC Campaign Agenda. #Kenya4UNSC"
2019-12-20,"PS @AmbMKamau paid a courtesy call to H.E Sam K. Kutesa, Uganda Foreign Minister and his Permanent Secretary Amb. Patrick Mugoya. @AmbMKamau was accompanied by Mr. Micah Powon Principal Secretary Asal,  Amb. John Tipis and Amb. Kennedy Mokaya."
2019-10-09,"PS @AmbMKamau together with PS  Betty Maina, met Ms Gunvor G. Ericson State Secretary of Environment and Climate in Sweden. They discussed possibility of a partnership as the world gets ready to celebrate Stockholm +50 which also commemorates establishment of @UNEP &amp; #Kenya4UNSC"
2018-04-30,"CS #MonicaJuma has arrived at Benazir Bhutto International Airport, Islamabad Pakistan for a three-day official visit. She will lead Kenya and Pakistan discussions on deepening ties in trade and investment, peace and security; collaboration in the growth of the Blue Economy."
2019-08-01,"PS @AmbMKamau while in Dar es Salaam for the official launch of Julius Nyerere terminal 3, had an opportunity to visit and interact with the Kenya Mission staff in Dar es Salaam and lauded them for efforts in their role of deepening bilateral ties with Tanzania"
2018-10-25,"Ministers and Heads of Delegation pose for a group photo after the opening of the 2nd Ministerial Italy- Africa Conference in Rome, Italy"
2021-07-08,"@ForeignOfficeKE CS Amb Raychelle Omamo today hosted a farewell ceremony for the outgoing  Ambassador of the Hashemite Kingdom of Jordan H.E Dr.Slaiman Arabiat. Wishing him well, the CS thanked the Ambassador for strengthening bilateral and multilateral relations between 🇰🇪and🇯🇴"
2016-06-13,"CS @AMB_A_Mohammed:  Received H.E President Kenyatta at the Quatro De Fevereiro Airport, Luanda, Angola this evening"
2015-10-16,#countdowntomc10nairobi. Liberia President @EllenJohnSir among dignitaries to grace WTO Ministerial Conference
2015-04-22,"H.E. Ukenyatta with outgoing Somalia Amb. to Kenya, Mohamed Nur when he bade him farewell at State House, Nairobi."
2013-08-13,"Kenya seeks better ties with Japan

Japan should import more Kenyan goods to bridge the trade gap between the two..."
2021-03-08,"H.E Sahle-work Zewde, President of the Federal Democratic Republic of Ethiopia has arrived in Kenya for a one-day official visit where she will hold talks with H.E President Uhuru Kenyatta. H.E was received at the #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo."
2016-04-24,"CS @AMB_A_Mohammed in Cuba for an official visit and was received by Gerardo Penaluer Dir.General, Bilateral Affairs"
2015-01-23,PS @Karanjakibicho:Kenya remains committed to enhancing commercial ties w/ Malawi focused on increasing trade volumes
2018-10-30,"Qatar Amb. to Kenya HE Jabor Bin Ali Al-Dosari ,while presenting the cheque expressed satisfaction at the growing bilateral partnership with Kenya,and confirmed Qatar's participation at the high level blue economy conference."
2016-11-14,"CS @AMB_A_Mohammed: In Marrakech, Morocco, for the COP22 United Nations Climate Change Conference"
2014-11-06,Unrelenting efforts by regional leaders to move the South Sudan peace process forward is encouraging 5/7 @amb_a_mohammed @igadcewarn
2019-01-21,"H.E. Dmitry Maksimychev, Ambassador of the Russian Federation to Kenya paid PS @AmbMKamau a courtesy call in his office. The two discussed bilateral issues between Russia and Kenya. @russembkenya"
2017-11-14,Kenya's ambassador to Angola Amb Josephat Maikara with Kennya Ports Authority (KPA) basketball team participating in African club championship in Angola. KPA just beat DC Motema Pembe of DRC 70-51.
2017-11-17,"Fully Funded International Scholarships in Canada, 2018"
2018-10-08,"CS Amb. Monica Juma arrived in Seoul,Korea for a one day official visit, she is expected to hold talks with PM Lee Nak-Yeon, among other high ranking officials. The CS will seek  South Korea’s participation and support in the Blue Economy Conference, scheduled for November 2018."
2015-10-30,CS @AMB_A_Mohammed: @UKenyatta: Africa is importing more than 80% of its antiretroviral drugs; mostly from India
2018-05-10,Ambassadors of  Kenya and Ghana with their delegations to AfCFTA negotiations and Embassy staff of after depositing the AfCFTA ratification instrument.
2016-02-25,CS @AMB_A_Mohammed: Urged Israelis to venture into Kenya &amp; gain a foothold in the most promising market in Africa
2014-07-23,@UKenyatta conveys condolence message Malaysia people through H.E Ismail Salam following the tragic #MH17 accident
2016-02-23,CS @AMB_A_Mohammed: Kenya &amp; Israel have agreed to extend the small-holder irrigation program in Kenya
2015-11-03,UK lifts travel ban on Malindi
2017-10-15,"CS @Amb_A_Mohammed: Kenya strongly condemns the terrorist attack in Mogandishu, Somalia, in which over 200 lives were lost &amp; scores injured"
2015-01-13,H.E Mounir Nour: Egypt is looking forward to signing of commercial agreement w/ Kenya to increase vol. of trade.
2019-01-22,"PS @AmbMKamau held a meeting with Spain Ambassador to Kenya Amb.Javier García de Viedma, and PS State Department of Housing and Urban Development, @PSCharlesHinga. They discussed collaboration in the development of a Metropolitan Railway Commuter Service.@HousingUrbanKE"
2015-02-02,CS @AMB_A_Mohammed: Kenya &amp; Iran enjoy fraternal diplomatic and political ties which date back to 1971. 2/10
2014-06-10,Kenya to send an officer to Seychelles Reflecs3 Unit on enhanced maritime security says @AMB_A_Mohammed
2018-05-04,"PS Macharia Kamau held talks with Mr. Chris Trott, a U.K Special Envoy of Sudan and South Sudan @AmbMKamau"
2016-11-17,"Special Envoy, CS @AreroWario accompanied by Amb Cleland Leshore in Juba, present H.E. @UKenyatta Message to S. Sudan's President Salva Kiir"
2018-04-30,"CS #MonicaJuma has arrived at Benazir Bhutto International Airport, Islamabad Pakistan for a three-day official visit. She will lead Kenya and Pakistan discussions on deepening ties in trade and investment, peace and security; collaboration in the growth of the Blue Economy."
2018-05-08,"Cabinet  Secretary  #MonicaJuma this evening received H.E. Ismail Omar Guelleh, President of Djibouti at Jomo Kenyatta International Airport when he arrived for a three-day State Visit."
2021-06-11,"Cabinet Secretary Amb Raychelle Omamo held a meeting with H.E MS Jainaba Jagne, Gambia Ambassador to Kenya resident in Addis Ababa. She elucidated what she expects to achieve to enhance bilateral engagement during her term."
2020-02-28,"CAS @AbabuNamwamba has arrived in Khartoum to lead Kenya's delegation to a summit of IGAD Council of Ministers and the European Union led by EU Commission Vice-President Josep Fontelles. He was received at Khartoum International Airport by Kenya's Ambassador to Sudan, Arown Suge."
2018-02-24,"Foreign Affairs Ministers Amb Monica Juma (Kenya), Amb Augustine Mahiga (Tanzania) and Hon Sam Kutesa (Uganda) today in Busia affirmed commitment to EAC integration during commissioning of Busia one stop border point by Presidents Uhuru Kenyatta and Yoweri Museveni."
2021-07-17,"Cabinet Secretary, Amb. Raychelle Omamo held talks with United States Secretary of State, Hon Antony Blinken at the State Department. They discussed Strategic Partnership and bilateral relations &amp; exchanged views on access to vaccines and post COVID-19 economic recovery progams."
2021-11-21,"CS Amb Raychelle Omamo held bilateral talks with H.E. Veronica Nataniel Macamo Dlhovo, Foreign Minister of Mozambique. They discussed the need to strengthen bilateral relations btwn Kenya and Mozambique through people to people exchanges and the advancement of trade &amp; investment."
2015-01-13,"H.E Mounir Nour,Egypt Trade &amp; Industry Minister : Integration is key to development"
2018-03-05,"CS Monica Juma today met French business delegation led by Pierre Gattaz Chairman for MEDEF (Mouvement des Enterprises de France) &amp; French ambassador to Kenya H.E. Antoine Sivan who paid her a courtesy call. Delegation is participating in Stars in Africa Forum on March 6-7, 2018"
2015-08-21,"Ministry attention has been drawn into claims of Kenyans mostly, domestic workers, allegedly held in Saudi Arabia. #KOT/1"
2015-05-13,The Region will continue consulting to ensure the situation in Burundi normalises and the respect for rule of law endures.
2015-02-09,"CS @AMB_A_Mohammed  with Vladimir Makei Minister of Foreign Affairs of Belarus during a meeting in Munich, Germany."
2020-08-14,Republic of Kenya and St Vincent and The Grenadines (SVG) have formally establish diplomatic relations. The agreement was signed by Ambassador Antony Muchiri for Kenya and H.E Amb Ellsworth John for SVG in Cuba.
2022-03-08,"The delegation, including the Swiss Ambassador to Kenya, Amb. Valentin ZELLWEGER, discussed matters of peace and security collaboration, particularly in the context on the #UNSC. Switzerland is seeking a non-permanent seat in 2023–24."
2018-11-01,"Foreign Affairs CAS Hon @AbabuNamwamba arrived in Durban, South Africa this morning where he is leading the Kenyan delegation at the 18th Indian Ocean Rim Association (IORA) Council of Ministers meeting. He was received by an Official from S.A International relations Department."
2015-05-28,PS @Karanjakibicho: H.E DP @WilliamsRuto will represent H.E @UKenyatta to the inauguration of H.E @MBuhari in Nigeria
2015-04-04,"United States Barack Obama says will still visit Kenya, expresses condolences"
2016-02-05,"First Lady Margaret Kenyatta presents the Beyond Zero 2014-2015 report to Indian HC to Kenya, H.E. Suchitra Durai."
2015-07-27,CS @AMB_A_Mohammed: Following proceedings during the accession of the Republic of Kazakhstan to the WTO
2017-04-28,"PS Monica Juma when she received State Secretary for Foreign Affairs of Latvia H.E. Andrejs Pildegovics, who paid her a courtesy call."
2018-06-29,"The Cabinet Secretary #MonicaJuma invited Botswana to participate at the upcoming High Level Sustainable #BlueEconomyConference to be held in Nairobi, Kenya from 26-28 November, 2018."
2017-09-24,CS @AMB_A_Mohammed: Attending High-Level Humanitarian Event on South Sudan held at the United Nations Headquarters in New York.
2015-08-11,CS @AMB_A_Mohammed. H.E Sidiki Kaba who is also Senegal Minister for Justice is in Kenya for a two day visit.
2017-03-15,"""Our prosperity is intertwined with that of our neighbors"" Kenya has played a big role in ensuring peace in Somalia and S.Sudan #SONAKE2017"
2014-06-03,"@AMB_A_Mohammed presenting a gift to H.E Berik Aryn,Amb Republic of Kazakhstan to Kenya earlier today"
2015-03-12,"@Karanjakibicho discuss matters of mutual interest with Amb Hana Goder, Charge D'Affairs in Israeli Embassy, Nairobi."
2020-02-06,"@ForeignOfficeKE CS Raychelle Omamo (at the far left) today attended the opening of the 36th Ordinary Session of the Executive Council of the African Union happening in the week- long event at the African Union in Addis Ababa, Ethiopia."
2018-05-03,CS Monica Juma held bilateral talks with Pakistan Minister of Commerce and Industry Mohammad Pervaiz Malik at the sidelines of Kenya &amp; Pakistan trade and investment Conference in Pakistan.The meeting centered on how to further bolster trade &amp; investment between the two Countries
2015-06-15,CS @AMB_A_Mohammed: Explored possible strategies for unlocking negotiations on outstanding issues in South Sudan
2018-06-18,"Hon Moses Cheboi, by Hon Margaret Kamar, Hon Lilian Gogo and Hon Dido Rasso pay a courtesy call at Kenya Embassy in Brussels. The delegation is attending 50th ACP Parliamentary and 35 Joint ACP-EU Parliamentary Assemblies. In the picture Kenya’s Amb to EU and Belgium Johnson Weru"
2018-07-12,"P.S Amb Macharia Kamau, held bilateral talks with Costa Rica Ambassador to Kenya Marta Juarez Ruiz at his office. They discussed how to further strengthen bilateral relations between the two countries and cooperation in areas related to blue economy, tourism, clean energy &amp;,trade"
2015-01-13,"CS @AMB_A_Mohammed: Urged
Egyptian investors to invest in Kenya &amp;
take advantage of lucrative opportunities
available"
2013-08-22,"Wildlife Preservation Plan Struck with Kenya
China has lent ""extremely important"" support to Kenya to help..."
2015-01-12,CS @AMB_A_Mohammed: Appealed to Egypt to consider issuing Kenyans with visas for longer periods &amp; at points of entry
2018-05-22,"Principal Secretary Macharia Kamau today briefed a group of Middle East Ambassadors led by H.E Saleh Sulaiman Al Harthi, Ambassador of the Sultanate of Oman on the upcoming Sustainable Blue Economy Conference to be held on 26-28 November 2018 #BlueEconomyConference"
2018-06-27,"President Uhuru Kenyatta today bade farewell to the outgoing Egyptian Ambassador H.E Mahmoud Ali Talaat  at State House, Nairobi."
2016-06-22,"CS @AMB_A_Mohammed: The Kenya-Ethiopia JMC discussed Political,Foreign &amp; Security; Economic and Social Cooperation"
2018-07-13,The Cabinet Secretary #MonicaJuma further reinforced Kenya's  commitment to the objectives of CGPCS and suggested a widening of its mandate to other forms of maritime crimes within the Western Indian Ocean @BlueEconomy2018
2019-11-05,"Chief Administrative Secretary @ForeignOfficeKE Hon @AbabuNamwamba met with Mr. Vebjorn Heines, the Norwegian Special Envoy to Somalia and discussed with him developments in Somalia, the Horn of Africa and Kenya/Norway bilateral relations."
2017-12-08,"President Uhuru Kenyatta today bade farewell to the outgoing Djiboutian Ambassador to Kenya, Mrs Mariam Ahmed Goumaneh at State House, Nairobi."
2016-12-13,CS @AMB_A_Mohammed: President Jose Eduardo dos Santos of Angola received and acknowledged H.E @UKenyatta message @tunajibu
2018-05-18,"This afternoon Cuban ambassador, H.E. Ernesto Gomez Diaz paid a courtesy call on the Principal Secretary, Ambassador Macharia Kamau at the Ministry. They discussed strengthening partnerships and deepening bilateral relations between Kenya and Cuba currently on upward trajectory."
2014-06-24,Mali Foreign Affairs Minister Tieman Coulibaly met @amb_a_Mohammed &amp;introduced Traore Nafo candidate for WHO position
2016-07-15,CS @AMB_A_Mohammed: We express our heartfelt sympathies to the bereaved and join France in praying for the speedy recovery of the injured
2017-05-26,"CS@AMB_A_Mohammed: It comprises leaders from Canada, France, Germany, Italy, Japan, UK &amp; the United States of America"
2016-12-13,"CS @AMB_A_Mohammed: In 2014, Kenya and Angola signed Agreement on the establishment of a Joint Commission for Cooperation JCC"
2017-12-13,Kenya High Commission – Kenyans in the United Kingdom Celebrate the 54th Jamhuri Day in London
2015-01-28,"@amb_a_mohammed held talks with Carlos Paranhos, Minister for Political Affairs of Brazil on sidelines of AU Summit."
2015-04-17,Kenyans and friends of Kenya in Spain remember the Garissa University College fallen compatriots
2017-04-07,"CS @AMB_A_Mohammed: Joined the Government and people of Rwanda in commemoration of the tragic 1994 Genocide (Kwibuka23) at KICC, Nairobi"
2015-04-06,Indian PM Nerandera Modi: “The terror attack in Kenya is horrific. It is most disturbing that a univ campus was attacked in this manner.”
2021-10-11,...and health particularly access to COVID-19 vaccines as well as fostering multilateral relations. CS Omamo thanked the Government and people of China for their solidarity through the donation of PPEs and COVID -19 vaccines.
2016-09-21,"CS @Amb_A_Mohammed: The Conference is co-hosted by Kenya, UK, Korea, Mexico, Netherlands, Somalia, Sri Lanka &amp; Sweden #UNGA"
2018-04-17,"Glad to meet Dr Emmanuel Fabiano, Minister for Foreign Affairs of Malawi, who is also attending the Commonwealth Heads of Government meeting 2018 in London."
2019-12-07,"CAS @AbabuNamwamba wrapped his official visit to Angola with a visit to the Kenya Embassy in Luanda, hosted by Amb J. Maikara; he urged the staff to continue strengthening the strong trajectory of Kenya-Angola bilateral diplomatic ties and step up Kenya's UN Security Council bid."
2018-05-10,"The Ambassadors of Kenya and Ghana during when they deposited Instruments of ratification of AfCFTA with the chairperson of AUC, flanked by (L-R) Ambassador of Rwanda, Commissioner of Trade and Industry, Executive Secretary of UNECA and Ambassador of Niger."
2015-12-20,CS @AMB_A_Mohammed: I briefed Sudan Foreign Minister on the just concluded #WTO &amp; the accession of Afghan &amp; Liberia
2013-08-13,"Kenya angles for larger share of Japan market
Posted by MARGARET WAHITO on August 12, 2013
0
inShare
Foreign..."
2015-02-12,"CS @Amb_A_Mohammed: Held talks with Ms. Nirmala Sitharaman, India’s Minister of State for Commerce &amp; Industry"
2015-02-25,CS @AMB_A_Mohammed arrives in Algiers with H.E. @UKenyatta  who is on a 3-day State visit to Algeria.
2014-08-28,@amb_a_mohammed President Kenyatta (@UKenyatta) visited Qatar in April 2014 &amp; signed agreements &amp; MOUs on commercial relations 7/12
2018-05-02,"CS #MonicaJuma when she officially opened Kenya Pakistan Trade and Investment Conference at Pearl Continental hotel Karachi, Pakistan."
2015-06-15,China To Build 50MW Solar Power Plant In Kenya Amid Investment Boom
2018-11-26,Ms. Funmi Folorunso delivers African Shipowners Association’s statement of commitment to the Sustainable #BlueEconomyKE conference.@ForeignOfficeKE @BlueEconomy2018 @FishOceansCAN @JapanGov @WWF_Kenya @UNDPKenya
2015-06-19,"CS @AMB_A_Mohammed presents the  exequatur to George Oraro, the honorary consul of Lithuania to Kenya"
2015-03-15,"CS@AMB_Mohammed: Mr. Fumion Kishinda: On UNSC, Japan remains open to engagement &amp; supports the reform agenda"
2022-02-02,Happening Now: the UN Ocean Conference Informal Advisory Committee meeting in New York co-chaired by Kenya and Portugal.
2018-08-15,"CS #MonicaJuma met and held talks with H.E Yusuf Bin Alawi Bin Abdullah, Foreign Minister of the Sultanate of Oman. They discussed Kenya's candidature for the Non-Permanent seat of the UNSC 2021-22, the upcoming #BlueEconomy2018 conference &amp; best practices of Oman in Oil and Gas"
2021-08-11,Joint Communique issued between Foreign Affairs CS Amb Raychelle Omamo and Minister of International Relations and Cooperation of South Africa Dr. Naledi Pandor at the inaugural of Kenya-South Africa JCC.
2018-06-22,"Others present included H.E. Mrs. Elizabeth Ines Taylor Jay, Ambassador of Colombia to Kenya and  H.E. Soehardjono Sastromihardjo, Ambassador of Indonesia to Kenya, Amb Purity Muhindi, Director for Africa and AU at MFA among other guests."
2018-11-14,The meeting will also consider the draft decisions and draft agenda for 11th Extraordinary Session scheduled for 17th and 18th November. The C.S was received at Bole International Airport by Kenya Ambassador to Ethiopia Amb. Catherine Mwangi.
2014-04-02,"PS @Karanjakibicho Ministry to open missions in Morocco, Ghana, Senegal, Djibouti, Ivory Coast and Cuba next financial year #KEStateUpdates"
2017-07-25,@IndiainKenya @SueKE254 @AMB_A_Mohammed Susan please drop an email to the embassy with details!
2016-09-21,"CS @Amb_A_Mohammed: The PBF has been effective in sustaining peace as exemplified in Burundi, Sri Lanka and Liberia #UNGA"
2014-02-12,South Korean E-Mart stores to sell Kenya’s coffee
2016-06-12,"CS @AMB_A_Mohammed: Held a briefing session at the Kenya Embassy in Luanda, Angola, this morning"
2020-02-21,"PS @AmbMKamau, PS Prof. Micheni Ntiba, Amb @ThomsonFiji, Amb. @Portugal_UN and Ms @LuisaFragoso2 held the 6th informal advisory commitee meeting of the UN2020 Ocean Conference to receive updates on logistics and level of preparations ahead of the Summit in June #SaveOurOcean"
2016-01-29,"CS @AMB_A_Mohammed: Held talks with AU Special Representative for Somalia &amp; head of Amisom, Amb. Francisco Madeira"
2017-05-15,CS @AMB_A_Mohammed:  Framework Agreement on Strengthening Cooperation in Production Capacity between Kenya and China was signed.
2015-02-02,@amb_a_mohammed: We enlist support of Iranian Govt in fighting Al-Shabaab insurgents who continue to be a threat to peace in the region.9/10
2021-06-19,"CS Amb Raychelle Omamo held bilateral talks with H.E Mevlüt Çavuşoğlu,Foreign minister of Turkey on the margins of the Antalya Diplomacy Forum. They discussed enhancing trade between the two countries within the Big Four Agenda mainly in Health, Agriculture, and Education sectors"
2021-07-23,Cabinet Secretary Amb Raychelle Omamo today in Mombasa hosted a luncheon in honour of visiting Republic of Ireland Foreign Minister Simon Coveney.
2018-10-23,"CAS Hon. Ababu Namwamba  presents a gift to outgoing Indian High Commissioner to Kenya, H.E Mrs Suchitra  Durai,during a farewell luncheon  in her honour, hosted by the Ministry of Foreign Affairs."
2015-10-07,PS @Karanjakibicho today met Morocco Ambassador to Kenya Mr. Abdelilah Benryane for consultation in his office.
2015-04-20,For Kenyans in South Africa 
2016-01-31,CS @AMB_A_Mohammed: Dr. Abdusalam &amp; I signed a Joint Commission for Cooperation between Kenya &amp; Somalia
2018-03-21,The two Ministers of Foreign Affairs recalled the historical ties between Kenya and Morocco dating from the close personal ties between President Jomo Kenyatta and King Hassan II.  They reiterated the need to expand the relations on areas of mutual consensus #AfCFTA
2021-10-09,"At the occasion attended by Hon. John Mulimba, Uganda's Minister of State for Regional Cooperation, CAS lauded the excellent relations between 🇰🇪 &amp; 🇺🇬 founded on historical linkages, strong bonds of friendships, shared values, and common aspirations for socio-economic prosperity."
2017-12-10,"CS @AMB_A_Mohammed: Met Minister Rt. Hon. Greg Hands, United Kingdom's Minister of State in the Department for International Trade, on the sidelines of the ongoing World Trade Organization (WTO) 11th Ministerial Conference (MC11) currently taking place in Buenos Aires, Argentina."
2015-08-08,H.E. @UKenyatta is in Uganda for 3-day State Visit &amp; has already held bilateral talks with his host @KagutaMuseveni
2014-07-15,"@bartouvry ""Kenya-Belgium enjoy good relations, will continue coop in areas of mutual interest like marine research"""
2018-11-26,"Hon. Rear Admiral Khaled Iqbal, Vice Chancellor ndu,psc. Vice-Chancellor BSMR Maritime University of Bangladesh delivers the People’s Republic of Bangladesh’s statement of commitment to the Sustainable #BlueEconomyKE @ForeignOfficeKE @BlueEconomy2018 @FishOceansCAN @JapanGov"
2020-01-23,"PS @ForeignOfficeKE, @AmbMKamau held talks with Millennium Challenge Corporation Chief Executive Officer, Mr Sean Cairncross, @MCC_CEO to discussed programs aimed at increasing partnership on economic growth, private investment and good governance. Sean will also visit Mozambique"
2018-09-24,Hon. Chrystia Freeland reaffirmed Canada's support and participation as co-host of Sustainable Blue Economy Conference and lauded Kenya for taking a lead in environmental and maritime protection. @BlueEconomy2018
2018-06-25,"CS #MonicaJuma, today held bilateral talks with Hon. Tilak Marapana, Sri Lankan Foreign Minister who is on official visit to Kenya. They discussed strengthening bilateral relations, education and scholarships, trade and sports especially Crickets and athletics."
2015-10-16,Ambassadors bid farewell to outgoing Iraqi Amb. H.E Mohammed Said Al-Shakarchi at luncheon hosted by the Ministry.
2017-12-19,"CS @AMB_A_Mohammed: With PS Monica Juma at Jomo Kenyatta International Airport, Nairobi, receiving Ugandan President H.E. Yoweri Kaguta Museveni on arrival for one-day official visit."
2015-01-10,@UKenyatta: Our relationship with China is a partnership I want to see increased &amp; cemented to bring mutual benefits.
2021-07-08,"@ForeignOfficeKE CS Amb Raychelle Omamo today hosted a farewell ceremony for the outgoing  Ambassador of the Hashemite Kingdom of Jordan H.E Dr.Slaiman Arabiat. Wishing him well, the CS thanked the Ambassador for strengthening bilateral and multilateral relations between 🇰🇪and🇯🇴"
