Date,Text
2022-04-04,"PS @AmbMKamau and Kenya's  Amb to Ireland Michael Mubea met with H.E Marta Lucía Ramírez, Vice President and Minister of Foreign Affairs of Colombia at the margins of #GDSdublin. They discussed ways of deepening ties between the two countries for the mutual benefit of the people."
2022-04-03,"PS Amb Macharia Kamau is in Dublin for the Global Diaspora Summit 2022 #GDSdublin
The PS, in the company of Amb. Michael Mubea hosted a working dinner with Kenyans living in Ireland in an effort to promote Diaspora engagement."
2022-04-02,"PS @AmbMKamau met with Mr. Tiago Pitta e Cunha,CEO of the Oceano Azul Foundation as he wrapped up his official visit in Portugal. They discussed possible areas of Cooperation in marine science and education; partnerships in Ocean dialogue and the promise of leaving no one behind."
2022-04-01,"Foreign Affairs PS @AmbMKamau today paid a courtesy call to the Secretary of State for Foreign Affairs, Mr. Francisco Andre, during his official visit to Portugal ahead of the proposed state visit on the margins of #UNOC."
2022-03-31,"Foreign Affairs C.S Amb Raychelle Omamo today bid farewell to H.E Loh Sock Tiong, outgoing High Commissioner of Malaysia after his tour of duty. The C.S praised efforts made by the High Commissioner in promoting and developing mainly trade and investment between the two countries"
2022-03-31,"Foreign Affairs C.S Amb Raychelle Omamo bid farewell to Ms Luisa Fragoso,Head of Mission at Portugal Embassy. The C.S lauded the collaboration between 🇰🇪 and 🇵🇹 particularly in Blue Economy whereby Kenya and Portugal are co- hosting the Oceans Conference in Lisbon in June 2022."
2022-03-28,"@Environment_Ke CS Keriako Tobiko today in New York, co-hosted the preparatory meeting for the Int'l meeting #Stockholm50 to be held in Stockholm, Sweden on 2 &amp; 3 June 2022 under the theme: a healthy planet for the prosperity of all - our responsibility, our opportunity.
@UN_PGA"
2022-03-27,"1/2  CS @ForeignOfficeKE Amb. Raychelle Omamo met with Former President Jakaya Kikwete, Chair of the Global Partnership for Education (GPE) Board of Directors on the margins of the @DohaForum in Qatar."
2022-03-27,"On the sidelines of the @DohaForum , @ForeignOfficeKE CS Amb. Raychelle Omamo met H.E. Sheikh Mohammed bin Abdulrahman Al Thani, the Deputy Prime Minister and Minister for Foreign Affairs of Qatar. #DohaForum"
2022-03-27,2/3  The CS was part of a panel discussion on the Economies of war where she emphasized that the COVID-19 crisis and the Ukraine crisis had highlighted the need for Africa to March towards self reliance in the supply chain in terms of health and food products. #DohaForum
2022-03-27,"1/3  CS @ForeignOfficeKE Amb. Raychelle Omamo travelled to Doha, Qatar to attend the Doha Forum 2022, held on 26th and 27th March 2022. #DohaForum"
2022-03-24,"Kenya and Portugal will host the 2022 United Nations Conference scheduled for 27 June to 1 July 2022.

The #UNOC will bring together all stakeholders to discuss Ocean-based solutions and restore the ocean's health
#SaveOurOceans"
2022-03-21,1/2  CS @ForeignOfficeKE Amb. Raychelle Omamo today held talks with the newly appointed Special Envoy of the People's Republic of China to the Horn of Africa H.E. Xue Bing.
2022-03-18,2/2  The PS welcomed China's move to appoint a special envoy to the horn of africa noting the initiative is timely as it will add impetus to the efforts by various partners to find lasting solutions to the peace and security threats in the horn of africa region.
2022-03-18,1/2 PS @AmbMKamau  held bilateral talks with Amb. Xue Bing newly appointed special envoy of the people's Republic of China to the Horn of Africa.
2022-03-18,Amb Raychelle Omamo gave a lecture on Strengthening Kenya Indonesia Strategic Cooperation at the Padjabjaran University (UNAPAD) and called for enhanced cooperation and collaboration between Indo-Pacific region economic blocks and African Continental Free Trade Area.
2022-03-17,"Earlier, the Cabinet Secretary Amb Raychelle Omamo together with the Minister for Foreign Affairs, Mrs. Retno Lestari Marsudi, held extensive consultations during the Inaugural Session of the Kenya-Indonesia Joint Bilateral Consultations."
2022-03-17,CS Amb Raychelle Omamo also conveyed warm greetings and best wishes from H.E President Uhuru Kenyatta to H.E Joko Widodo President of the Republic of Indonesia.
2022-03-17,Cabinet Secretary Amb Raychelle Omamo today paid a courtesy call on H.E the Vice President of Indonesia H.E Prof. Dr Mairuf Amin at his official residence. The VP said Indonesia considers Kenya as an important partner in Eastern Africa.
2022-03-17,The new mission in Jarkata is expected to bring consular services closer for all Kenyans resident in Indonesia and help the two countries to reinvigorate bilateral relations and add momentum in bilateral collaborations.
2022-03-17,3/3 The Omani Minister reiterated the need to create seemless linkages between Salalah Port and Mombasa Port especially with the renewed Kenya - Oman export of livestock after the 16 year ban
2022-03-17,2/3  CS Omamo underscored the significance of Kenya Vision 2030 and Omani Vision 2040 as economic blueprints of both countries which have placed food security as a top agenda.
2022-03-17,"1/2 CS Amb. Raychelle Omamo held a bilateral meeting with  H.E. Saeed bin Muhammad bin Ahmed al Saqri, Minister for Economy in Oman. Discussions focused on ways of reinvigorating friendship post Covid-19 by creating more trade awareness to Kenyan business community."
2022-03-17,CS Amb Raychelle Omamo and Her Excellency Retno L.P Marsudi Foreign Minister of Indonesia today officially opened the Kenyan Embassy in Jarkata Indonesia. The  event was witnessed by African group of Ambassadors led by the Dean H.E Ouadia Benabdellah Amb of Morrocco to Jarkata.
2022-03-17,2/2  ... and 2040 for Kenya and Oman respectively. They observed the imperative need to diversify market access of both countries. CS Omamo rooted for Oman investors to take advantage of the investment opportunities offered by the Kenya Government under the Big Four Agenda
2022-03-17,"1/2  CS Amb. Raychelle Omamo met with the Minister for Agriculture, Fisheries Wealth and Water Resources of Oman, H.E. Dr. Saud bin Ahmed Al Habsi. They noted the huge potential that exists in the food security sector of the two countries as envisioned in the
vision 2030 ..."
2022-03-16,"CS @ForeignOfficeKE
Amb. Raychelle Omamo met with the Omani Women’s Association where she underscored the role of women in leadership and transformation of economies especially during this critical period of post Covid-19 pandemic recovery."
2022-03-16,"During the Official Visit to the Sultanate of Oman, CS Amb. Raychelle Omamo visited the Kenya Embassy in Muscat. She thanked the staff for their hard work in strengthening the fraternal relations and increasing the quantum of business between Kenya and Oman. @KenEmbMuscat"
2022-03-15,"2/2  They observed the need to strengthen relations between the national museums of the two countries to preserve Oman heritage in Kenya, develop tourism packages and hold mutual exhibitions to exhibit tangible and non-tangible products both in Nairobi and Oman."
2022-03-15,"1/2  CS Amb. Raychelle Omamo met with the Minister for Trade, Industry &amp; Investment of Oman, H.E. Qais Al Yousef.  They  underscored Kenya’s readiness to work with Oman to improve Market Access of Kenya’s Agricultural fresh produce,  flowers, tea, coffee, fruits  ..."
2022-03-15,"2/2 They welcomed the initiative by the two governments towards the initiation of a Kenya-Oman Joint Trade Cooperation following successful Kenya-Gulf Cooperation Council Business Forum in Dubai held from February 14-18, 2022 on the sidelines of the Dubai 2020 Expo"
2022-03-15,"1/3 CS @ForeignOfficeKE Amb. Raychelle Omamo held extensive consultations with her host the Foreign Minister  of the Sultanate of Oman
H.E. Sayyid Badr Albusaidi.
The meeting focused on reinvigorating the strong bilateral relations that exists between Kenya and Oman"
2022-03-13,3/3 The Foreign Ministers also launched the first session of the Kenya - Saudi Arabia Joint Commission for Cooperation and emphasized the significance of this inaugural session as the commencement of a new era of meaningful high-level engagements.
2022-03-13,2/3 The two Ministers signed a Memorandum of Understanding between the Ministry of Foreign Affairs of the Republic of Kenya and the Ministry of Foreign Affairs of the Kingdom of Saudi Arabia on Political Consultations aimed at strengthening the existing friendly relations.
2022-03-13,1/3 CS Amb. Raychelle Omamo held bilateral talks with her Saudi Arabian counterpart His Highness Prince Faisal bin Farhan Al Saud in Riyadh today. Discussions focused on bilateral issues of mutual benefits between Kenya and Saudi Arabia.
2022-03-13,"CS Amb. Raychelle Omamo paid a courtesy call on H.E. Dr. Majid Bin Abdullah Alkassabi, Minister of Commerce &amp; Investment of the Kingdom of Saudi Arabia. They discussed ways of strengthening bilateral relations, enhancing trade &amp; investments &amp; other potential areas of cooperation."
2022-03-13,"Amb. Raychelle Omamo, CS @ForeignOfficeKE held a bilateral meeting with Dr. Abdullah Nasser Abuthnain, Vice Minister of Human Resource and Social Development for Labour in Riyadh.  Discussions focused on labour and consular matters between Kenya and Saudi Arabia."
2022-03-12,2/2 The Cabinet Secretary is in Riyadh for the Kenya - Saudi Arabia Joint Commission for Cooperation (JCC) with her Saudi Arabian counterpart.
2022-03-12,"1/2 CS Amb. Raychelle Omamo arrived at the Khalid Int'l Airport Saudi Arabia today. She was received by the Chief of Protocol, Ministry of Foreign Affairs, Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Ambassador of Saudi Arabia to Kenya Amb. Khalid Al-Salmani"
2022-03-10,H.E. Dmitry Maksimychev Ambassador of the Russian Federation to the Republic of Kenya paid a courtesy call on Foreign Affairs P.S Amb. Macharia Kamau.  They discussed matters of mutual interest between the two countries.
2022-03-10,Foreign Affairs C.S Amb. Raychelle Omamo has this afternoon bid farewell to the visiting Zimbabwe President H.E President  Emmerson Mnangagwa at #JKIA after a three- day State Visit to Kenya. Escort of honor CS Eugene Wamalwa and Amb George Orina Director Africa were present.
2022-03-09,2/2  In attendance were Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Saudi Arabia Ambassador to Kenya Amb. Khalid bin Abdullah Al-Salman
2022-03-09,"1/2 Amb. Arthur Andambi, Director Middle East led the Kenyan delegation during the opening session of Saudi Arabia-Kenya Joint Commission for Cooperation in Riyadh with his counterpart Amb. Mohammed Madani Director African Dept, Ministry of Foreign Affairs Kingdom of Saudi Arabia"
2022-03-08,"The delegation, including the Swiss Ambassador to Kenya, Amb. Valentin ZELLWEGER, discussed matters of peace and security collaboration, particularly in the context on the #UNSC. Switzerland is seeking a non-permanent seat in 2023–24."
2022-03-08,Others present in receiving H.E Mnangagwa was a delegation from Zimbabwe led by Foreign Minister of Zimbabwe Hon. Amb. Fredrick Shava. The team has been in Kenya for the 3rd session of the Joint Permanent Commission for Cooperation (JPCC) concluded today.
2022-03-08,"H.E Dr. Emmerson Mnangangwa, President of the Republic of  Zimbabwe, has  arrived in Nairobi for a three-day State visit. He was received at #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo, CS Eugene Wamalwa, Amb Stella Munyi HC to Zimbabwe and Amb George Orina."
2022-03-08,"The JPCC laid a strong foundation for the State visit to  Kenya by H.E Dr. Emmerson Mnangangwa, President of Zimbabwe, who arrives in Nairobi today for a three day State visit. A number of MOUs will be signed during the visit."
2022-03-08,"The 3rd session of the Kenya- Zimbabwe Joint Permanent Commission for Cooperation (JPCC) was held today co-chaired by CS Amb Raychelle Omamo of the Republic of Kenya and Dr Amb. Frererick Shava, Foreign Minister of the Republic of Zimbabwe."
2022-03-07,The Kenya- Zimbabwe Joint Permanent Commission of Cooperation (JPCC) Senior Officials Meeting (SOM) has come to a close this evening with 7 instruments of cooperation concluded and recommended for adoption during the Ministerial segment scheduled for tomorrow.
2022-03-07,"Foreign Affairs CS Amb. Raychelle Omamo today hosted a luncheon in honour of Hon.Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe. Hon Shava is leading a delegation to discuss areas of further cooperation between the two countries"
2022-03-07,"Foreign Affairs CS Amb. Raychelle Omamo today met with  Hon. Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe.  The two leaders discussed ways of strengthening bilateral relations and identified areas of further cooperation."
2022-03-06,"Amb Tabu Irina and her Embassy staff in Japan, hosted at the Mission, Team Kenya led by Eliud Kipchoge and Brigid Kosgei to celebrated their win and appreciated their teamwork. The event was attended by the chairman of the Kenyan’s in Japan Association."
2022-03-05,The JPCC aims at strengthening further the existing bilateral relations and increasing  opportunities for cooperation between the two countries. The Senior officials session co- chaired with Zimbabwe will discus and consider twelve (12) instruments of cooperation.
2022-03-05,Foreign Affairs P.S Amb. Macharia Kamau this afternoon opened the  Kenya- Zimbabwe Joint Permanent Commission of Cooperation (JPCC) in Nairobi  with the opening of the Senior Officials Meeting (SOM) segment. The segment precedes the Ministerial segment scheduled for Monday.
2022-03-03,"H.E President Uhuru Kenyatta jointly with H.E Muhammadu Buhari President of Nigeria, H.E Mokgweetsi Masisi President of Botswana, and H.E Felix Moloua Prime Minister of Central Africa Republic unveiled the commemoration plaque of #UNEP at 50.
#ClimateAction #UNEP50"
2022-03-02,"CS Amb. Raychelle Omamo today joined MFA staff, family and friends for a memorial service of the Late Amb. Wilfred Machage, who until his demise, was Kenya's High Commissioner to Nigeria. The C.S eulogized Hon Machage as an amiable leader and a consummate diplomat."
2022-03-02,PS @AmbMKamau said the 2022 UN Portugal conference will offer a unique opportunity for countries and regions to mobilise and demonstrate leadership in taking action to protect oceans and ensure that the Ocean and its accompanying coastline are sustainably managed.
2022-03-02,"Foreign Affairs P.S Amb Macharia Kamau last evening convened United Nations Ocean Conference Informal Advisory Committee Meeting, in readiness to the 2nd Ocean Conference in Lisbon to be cohosted by Kenya and Portugal.
 @Portugal_UN @ThomsonFiji @AmbMKamau"
2022-02-25,"CS Amb Raychelle Omamo was at #JKIA to condole with Mrs Machage and family on the loss of the late Hon Winfred Machage. The late Machage body arrived from Abuja, Nigeria where he served as Kenya's Ambassador."
2022-02-25,"The body of the late Hon Dr. Ambassador Wilfred Machage, Kenya High Commissioner to Nigeria  arrived @JKIA this morning at around 10.40am aboard KQ 524.
The body of the late Amb. Machage was received by Cabinet Secretary Amb Raychelle Omamo,family members and friends."
2022-02-23,Foreign Affairs C.S Amb Raychelle Omamo today held a meeting with UN Special Representative for Somalia and Head of UNSOM Mr James Swan. They discussed peace and security situation in the Horn of Africa.
2022-02-21,"CS Amb Raychelle Omamo participated in a Townhall Session on the “Participation for Peace: Women's Agency in Conflict and Humanitarian Crises” she was joined by @SvenjaSchulze68.
the Federal Minister of Economic Cooperation and Development, Federal Republic of Germany. #MSC2022"
2022-02-21,Cabinet Secretary @ForeignOfficeKE Amb Raychelle Omamo joined fellow Women Foreign Ministers at a breakfast meeting co-hosted by @marisepayne of Australia and @Abaerbock of Germany on the margins of 58th Munich Security Conference. They discussed Women Peace and Security Agenda.
2022-02-11,"H.E William Alexander McDonald, HC of Barbados to Kenya paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. Kenya and Barbados enjoy cordial and warm bilateral ties. The two leaders discussed ways to advance their engagements for the benefit of the two countries."
2022-02-08,"PS @AmbMKamau held a joint consultative meeting with H.E Mr. Dmitry Maksimychez, Ambassador of the Russian Federation and  H.E Mr. Zhou Pingjian, Ambassador of the Peoples Republic of China on the United Nations Security Council (UNSC) reforms."
2022-02-04,"The launch event held on World Cancer Day was co-hosted by Senegal’s President Macky Sall, the incoming Chairperson of the African Union. Moussa Faki Mahamat of the African Union Commission (AUC) addressed the meeting also attended by Malawi’s President Lazarus Chakwera."
2022-02-04,"Principal Secretary at the ministry of Foreign Affairs Ambassador Macharia Kamau today paid a courtesy visit to Ambassador Courtenay Ratrray, Chief of Staff in the office of the Secretary General and former PR of Jamaica to the UN."
2022-02-04,"Kenya is among seven Africa countries set to benefit from  life-saving nuclear medicine and radiotherapy,that is an initiative of the International Atomic Energy Agency. other countries to benefit are: Benin, Chad,DRC, Niger, Malawi and Senegal.1/2"
2022-02-04,"Amb Raychelle Omamo today deposited on behalf of the Republic of Kenya, three instruments of ratification to the African Charter in Addis Ababa, Ethiopia on the sidelines of the 35th African Union Summit: The African Charter on Democracy, Elections and Governance; 1/2"
2022-02-03,"During the journey to Burundi, three calfs were delivered. The donations were formally handed over to the Minister of Agriculture, Livestock and Environment of Burundi at a function held at Bugendana in Gitega Province."
2022-02-03,"Other donations to the Government of Burundi, delivered by Hon CS Peter Munya included: 20,000 Vaccine doses of Quodivolent against Foot and Mouth Disease; 1.3 Metric tonnes consisting of Maize, Wheat and Rhodes grass seeds; 1000 pieces of Tsetse traps; and 4000 straws of Semen."
2022-02-03,The Mandela cow which H.E Uhuru Kenyatta handed to H.E President Evariste Ndayishimiye of Burundi in Kisumu on 31st May 2021 has finally arrived in Burundi together with 50 high-yielding dairy heifers. CS Peter Munya delivered the President's donation to the Gov't of Burundi.
2022-02-02,"PS @AmbMKamau, Francisco Duarte Lopes, @Portugal_UN and Amb @ThomsonFiji are leading consultations with UNDESA, DGCIAM and stakeholders,towards ensuring a successful Oceans Conference that is committed to ocean science and innovation as an integral part of post-covid recovery."
2022-02-02,Happening Now: the UN Ocean Conference Informal Advisory Committee meeting in New York co-chaired by Kenya and Portugal.
2022-01-31,"H.E Amb Dragos Viorel Radu Tigau, of Romania today, paid a courtesy call on CS Amb. Raychelle Omamo. The two leaders reassert the long held bilateral relations between the two countries that is founded on shared values and similar aspirations to better the lives of their peoples."
2022-01-31,"H.E Amb. Juan Manuel Rodriguez Vazquez, Cuban Ambassador to Kenya paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. They discussed ways to enhance bilateral cooperation in the fields of sports, health, agriculture among others."
2022-01-31,"H.E Mr. Firas Khouri, the ambassador of  Jordan to Kenya paid a courtesy call on Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo. The talks focused on areas of mutual interest including issues trade, investment, livestock, health."
2022-01-31,"CS Amb Raychelle Omamo held talks with H.E.Amb Silvio José Albuquerque of Brazil. CS Omamo thanked Government of the Republic of Brazil for the continued support in health, education and agriculture. Kenya and Brazil enjoy bilateral and multilateral ties based on shared values."
2022-01-31,"Ambassador of the Kingdom of Spain to Kenya, H.E. Ms. Christina Diaz Fernandez-Gil paid a courtesy call on Foreign Affairs CS Amb. Raychelle Omamo. The two noted the cordial bilateral relations between Kenya and Spain and identified areas that need further cooperation."
2022-01-27,"PS @AmbMKamau  held bilateral discussions with Amb. Robert Fairweather, UK Special Envoy to Sudan and South Sudan and Dr. Endre Stiansen, Norwegian Special Envoy to Sudan and South Sudan. Discussions focused on peace and security in the Horn of Africa."
2022-01-27,"CS Amb. Raychelle Omamo held a virtual meeting with Amb. James Swan, Special Representative of the Secretary-General for Somalia and Head of the UNSOM. They exchanged on a wide range of issues including the security and humanitarian situation in Somalia."
2022-01-26,"Foreign Affairs P.S Amb.Macharia Kamau held talks with H.E. Muhammad Shahrul Ikram Yaakob,Secretary-General, Ministry of Foreign Affairs of Malaysia.The two discussed trade and development, education, tourism and culture as areas to further enhance ties between Kenya and Malaysia"
2022-01-21,"Responding to the media on regional  peace Amb Omamo said Ethiopia remains a brotherly nation, while Kenya believes that the situation can be resolved if both sides show commitment on the need for a national dialogue, cessation of hostilities and support to humanitarian aid."
2022-01-20,"Foreign Affairs Principal Secretary Amb Macharia Kamau held fruitful bilateral talks of mutual interests  with H.E. Loh Seck Tiong, the High Commissioner of Malaysia to Kenya who paid a courtesy visit."
2022-01-20,"Member states in the C-10 include: Senegal, Uganda, Algeria, Kenya, Zambia, Sierra Leone, Congo, Libya, Namibia and Equatorial Guinea."
2022-01-20,Hungary President H.E János Áder has today left the country after a four day State Visit. He was seen off at #JKIA by Cabinet Secretary for ICT Joseph Mucheru and PS Ministry of Foreign Affairs @AmbMKamau and other ministry officials.
2022-01-18,"CS @ForeignOfficeKE Amb. Raychelle Omamo met with Hon. Vicky Ford, MP, Minister for Africa (Deputy Minister) in the Foreign, Commonwealth and Development Office of the United Kingdom. They discussed bilateral cooperation on trade and investments, peace and security"
2022-01-18,"PS @AmbMKamau held discussions with H.E Zhou Pingjian, Chinese Ambassador to Kenya. The purpose of the meeting was to follow, consolidate &amp; implement key issues discussed during the visit by H.E Wang Yi, Foreign Minister of the People’s Republic of China to Kenya in January 2022"
2022-01-11,"2/2  The projects aims at  developing the traffic route to Mombasa South Coast towards Tanzania, alleviate congestion and facilitate the logistics from the new container terminal through development of the Kipevu Link Road and Mombasa Southern Bypass (Dongo Kundu Bypass)"
2022-01-06,"6.Protocol on Inspection  Quarantine and Veterinary Sanitary Requirements for Wild Fished Aquatic Products exported from Kenya to China between Min. of Agriculture Livestock, Fisheries &amp; Cooperatives of Kenya and General Administration of Customs of the People’s Republic of China"
2022-01-06,5. Protocol of Phytosanitary Requirements for Export of Fresh Avocado Fruits from Kenya to China between General Administration of Customs of the People’s Republic of China and the Kenya Plant Health Inspectorate Service of the Republic of Kenya.
2022-01-06,"3.  Handover certificate on Emergency Humanitarian Food Aid Program between China and Kenya

4.  Agreement on Economic and Technical Cooperation between the Government of the People’s Republic of China and the Government of the Republic of Kenya."
2022-01-06,2.  MOU on Strengthening Investment Cooperation in the Digital Economy between the Government of the People’s Republic of China and the Government of the Republic of Kenya.
2022-01-06,"6 agreements were signed as follows: -

1. MOU between the Ministry of Commerce of the People’s Republic of China and Ministry of Industrialization Trade and Enterprise Development of the Republic of Kenya on Establishment of the Investment and Economic Cooperation Working Group"
2022-01-06,4/4 “Kenya lauds China’s contribution to the global development Agenda and is pleased with the ongoing cooperation between the two countries at the UNSC and support to the AU in the implementation of Peace and Security mandate” – CS Omamo
2022-01-06,"3/4. Under the Framework of the Forum on China-Africa Cooperation (FOCAC), Kenya and China cooperation has expanded to spheres including socio-economic, cultural and diplomatic exchanges"
2022-01-06,2/4 The meeting underscores the importance Kenya attaches to Kenya-China relations based on historic ties that continue to blossom buttressed by strong commercial ties growing from strength to strength and solidified under the Strategic Comprehensive Cooperative Partnership.
2022-01-06,"1/4  CS @ForeignOfficeKE  Amb. Raychelle Omamo together with her Cabinet colleagues hold bilateral meeting in form of a Ministerial Roundtable with H.E. Wang Yi, Minister of Foreign Affairs of the People’s Republic of China in Mombasa, Kenya."
2022-01-05,3/3 The visit gives the two countries an opportunity to enhance bilateral relations by signing Agreements and further cement the Comprehensive Strategic Cooperation Partnership between Kenya and China.
2022-01-05,"1/3 H.E. Wang Yi, State Councillor and Minister for Foreign Affairs of the People’s Republic of China arrives in Kenya to begin a two-day official visit.  He is received at Mombasa International Airport by @ForeignOfficeKE   CS Amb. Raychelle Omamo"
2021-12-15,"C.S Amb. Raychelle Omamo on 6th December, met with H.E Amb. Khalid Abdullah Alsalman, the ambassador of the Kingdom of Saudi Arabia. The two agreed on continued bilateral cooperation in the fields of road infrastructure, health and sewerage projects."
2021-12-12,"There was an aura of excitement and pomp as a Sudanese cultural troupe entertained guests outside the VIP section of the airport.
The resumption of Kenya Airways flights will stimulate cross border trade, investment and tourism flows between Kenya and Sudan."
2021-12-12,"Kenya's Amb. to Sudan, H.E Ngewa Mukala, his staff,Kenya Airways officials,Diplomatic Corps,  Sudanese Civil Aviation authorities, and other stakeholders received the first #KQ flight at the Khartoum Civil Int'l Airport,on December 10, 2021. The carrier suspended flights in 2020."
2021-12-07,"FOREIGN Affairs Director General,  Bilateral and Political office Amb Galma Boru last evening joined Health C.S, Hon Mutahi Kagwe in receiving 4.3 million J&amp;J vaccines donated by the German government and 300,000 AstraZeneca donated by the government of Argentina at JKIA Nairobi."
2021-12-06,"H.E Peter Maddens, Kingdom of Belgium Amb. to Kenya paid a courtesy call on C.S Amb. Raychelle Omamo. The meeting reflected on Kenya-Belgium partnerships and the opportunities to reassert the long-lasting bilateral relations, founded on shared values and similar aspirations."
